elo,status,motivo,subtipoPlan,dataMax,itauId,pay99Id,idsDesparear,bancosSys,somaPlan
5260,IGNORAR,nao_itau_only,,2019-02-15,,,,6+5,3800
5261,IGNORAR,nao_itau_only,,2019-02-14,,,,6+1,0
5262,IGNORAR,nao_itau_only,,2019-02-13,,,,6+1,0
5263,IGNORAR,nao_itau_only,,2019-02-13,,,,6+1,0
5264,IGNORAR,nao_itau_only,,2019-02-13,,,,6,0
5265,IGNORAR,nao_itau_only,,2019-02-13,,,,3,3000
5266,IGNORAR,nao_itau_only,,2019-02-08,,,,,0
5268,IGNORAR,nao_itau_only,,2019-02-05,,,,2+1,0
5269,IGNORAR,nao_itau_only,,2019-01-31,,,,,0
5270,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-12-27,,,,5+1,-200
5271,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2017-12-20,,,,1,0
5272,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-12-19,,,,5+1,-4200
5273,IGNORAR,nao_itau_only,,2017-12-13,,,,4,0
5274,IGNORAR,nao_itau_only,,2016-01-05,,,,4+1,0
5275,IGNORAR,nao_itau_only,,2016-02-10,,,,4+1,0
5276,IGNORAR,nao_itau_only,,2016-02-11,,,,4+1,0
5277,IGNORAR,nao_itau_only,,2016-02-12,,,,4+1,0
5278,IGNORAR,nao_itau_only,,2016-04-15,,,,2+1,0
5279,IGNORAR,nao_itau_only,,2016-04-22,,,,4,0
5280,IGNORAR,nao_itau_only,,2016-05-10,,,,2+1,0
5281,IGNORAR,nao_itau_only,,2016-05-20,,,,4,0
5282,IGNORAR,nao_itau_only,,2016-06-14,,,,2+1,0
5283,IGNORAR,nao_itau_only,,2016-06-21,,,,4,0
5284,IGNORAR,nao_itau_only,,2016-07-05,,,,2,0
5285,IGNORAR,nao_itau_only,,2016-07-21,,,,4,0
5286,IGNORAR,nao_itau_only,,2016-08-03,,,,2+1,0
5287,IGNORAR,nao_itau_only,,2016-08-08,,,,2+1,0
5288,IGNORAR,nao_itau_only,,2016-08-19,,,,4,0
5289,IGNORAR,nao_itau_only,,2019-05-22,,,,6+1,0
5290,IGNORAR,nao_itau_only,,2019-05-24,,,,6+1,0
5291,IGNORAR,nao_itau_only,,2019-05-24,,,,6+1,0
5292,IGNORAR,nao_itau_only,,2019-05-24,,,,6+1,0
5293,IGNORAR,nao_itau_only,,2019-05-24,,,,6+5,16010.15
5294,IGNORAR,nao_itau_only,,2019-05-24,,,,4+6,0
5295,IGNORAR,nao_itau_only,,2019-05-15,,,,6+1,0
